"idnum","uniq_id","year","estratopri","strata","upm","prov1t","q1tb","q2","wt","weight1500","idio2","fs2","it1","l1b","vic1ext","pole2n","aoj11","wvsi2","wvsi3","cses6n","b2","b3","b4","b6","b32","b37","b47a","b21a","b43","ed_usa"
"251",21400000251,2021,"West",4000002021,400025121,"Colorado","1",65,0.68,0.684874892,"0","0","7.5","5","0","7.5","7.5","1","0","5","4","4","5","4","5","3","5","5","6","Some college, but no degree (yet)"
"252",21400000252,2021,"West",4000002021,400025221,"Colorado","1",51,0.96,0.961230755,"0","0","7.5","3","0","7.5","7.5","1","1","0","5","4","5","5","5","3","6","6","5","4-year college degree"
"253",21400000253,2021,"South",4000002021,400025321,"Florida","1",60,0.83,0.83233732,"1","0","10","6","0","7.5","10","0","0","2.5","2","2","4","4","5","1","2","2","5","2-year college degree"
"254",21400000254,2021,"Northeast",4000002021,400025421,"New Jersey","1",58,1.4,1.396496058,"0","1","7.5","2","0","7.5","7.5","1","1","7.5","5","5","6","6","5","4","5","6","6","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"255",21400000255,2021,"South",4000002021,400025521,"Tennessee","0",24,0.26,0.262854397,"0","0","7.5","5","0","5","7.5","1","0","5","1","5","2","1","2","4","6","3","3","4-year college degree"
"256",21400000256,2021,"West",4000002021,400025621,"Utah","0",41,0.75,0.750483572,"0","0","7.5","7","0","5","7.5","0","0","2.5","4","3","5","4","2","2","3","1","7","Some college, but no degree (yet)"
"257",21400000257,2021,"South",4000002021,400025721,"Maryland","0",55,0.8,0.802556634,"0","0","7.5","10","1","10","10","0","0","0","2","2","4","7","2","1","2","1","7","4-year college degree"
"258",21400000258,2021,"Midwest",4000002021,400025821,"Minnesota","1",70,0.87,0.866527081,"0","0","10","3","0","7.5","10","0","0","2.5","4","5","3","4","6","4","6","6","4","Some college, but no degree (yet)"
"259",21400000259,2021,"West",4000002021,400025921,"Arizona","0",49,0.58,0.584328711,"1","0","7.5","6","0","7.5","7.5","0","0","5","6","6","6","6","5","1","6","5","7","Some college, but no degree (yet)"
"260",21400000260,2021,"South",4000002021,400026021,"South Carolina","0",58,0.73,0.725690842,"0","0","7.5","8","0","10","7.5","0","0","7.5","4","7","7","7","4","1","7","6","7","4-year college degree"
"261",21400000261,2021,"Midwest",4000002021,400026121,"Michigan","1",59,0.91,0.907832623,"0","0","7.5","5","0","7.5","10","1","0","5","4","4","4","4","4","1","1","1","5","Some college, but no degree (yet)"
"262",21400000262,2021,"South",4000002021,400026221,"Virginia","1",51,1.36,1.363652706,"0","0","7.5","10","1","10","10","0","0","2.5","5","4","6","7","3","1","4","1","7","4-year college degree"
"263",21400000263,2021,"West",4000002021,400026321,"Utah","0",59,1.08,1.076559067,"1","0","10","10","0","7.5","10","0","0","5","2","3","7","6","4","1","2","1","7","4-year college degree"
"264",21400000264,2021,"West",4000002021,400026421,"California","1",34,0.55,0.551426411,"0","0","7.5","3","0","5","5","0","0","5","4","3","3","4","5","2","5","7","4","4-year college degree"
"265",21400000265,2021,"Midwest",4000002021,400026521,"Ohio","0",52,0.47,0.466501057,"0","0","7.5","5","0","7.5","7.5","0","1","2.5","5","5","5","5","5","5","6","5","6","4-year college degree"
"266",21400000266,2021,"Midwest",4000002021,400026621,"Illinois","1",37,0.75,0.752702475,"1","0","10","6","0","10","10","1","0","2.5","3","2","3","5","7","1","2","1","4","Some college, but no degree (yet)"
"267",21400000267,2021,"Northeast",4000002021,400026721,"New York","1",56,0.83,0.834439099,"0","0","7.5","3","0","7.5","7.5","1","1","7.5","4","5","5","6","5","5","6","6","6","4-year college degree"
"268",21400000268,2021,"Midwest",4000002021,400026821,"Iowa","0",72,1.75,1.746088743,"0","0","7.5","10","0","10","10","1","0","0","3","1","7","7","6","1","2","1","7","2-year college degree"
"269",21400000269,2021,"West",4000002021,400026921,"Hawaii","0",26,1.26,1.258241415,"0","0","2.5","10","0","2.5","2.5","0","0","0","7","1","1","1","1","1","7","7","No me considero americano","4-year college degree"
"270",21400000270,2021,"Northeast",4000002021,400027021,"Pennsylvania","1",24,1.51,1.508882523,"0","0","7.5","2","0","5","7.5","0","1","5","4","4","2","4","5","2","7","5","3","High school graduate"
"271",21400000271,2021,"South",4000002021,400027121,"Tennessee","0",64,0.47,0.465117455,"0","0","7.5","1","1","7.5","7.5","0","0","0","2","4","7","4","6","1","1","1","7","Some college, but no degree (yet)"
"272",21400000272,2021,"West",4000002021,400027221,"Washington","0",41,0.53,0.529011488,"1","0","7.5","1","0","10","10","0","0","0","5","5","4","5","7","5","6","7","4","Some college, but no degree (yet)"
"273",21400000273,2021,"Northeast",4000002021,400027321,"New York","0",81,0.56,0.561763048,"0","0","7.5","3","0","10","10","0","0","2.5","6","6","7","7","6","5","7","6","7","High school graduate"
"274",21400000274,2021,"South",4000002021,400027421,"Florida","1",66,0.71,0.713671207,"0","0","7.5","4","0","7.5","7.5","1","0","0","5","3","6","6","2","3","5","6","3","High school graduate"
"275",21400000275,2021,"West",4000002021,400027521,"Colorado","1",76,0.67,0.669083655,"0","0","7.5","4","0","7.5","10","1","0","5","4","5","5","6","5","6","7","7","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"276",21400000276,2021,"Northeast",4000002021,400027621,"New York","1",56,0.69,0.693195999,"1","0","7.5","1","0","2.5","7.5","1","1","2.5","4","3","2","2","3","4","6","7","2","Some college, but no degree (yet)"
"277",21400000277,2021,"Midwest",4000002021,400027721,"Wisconsin","1",37,0.56,0.557589769,"0","0","7.5","5","0","7.5","7.5","1","1","2.5","3","3","4","4","5","3","3","3","6","2-year college degree"
"278",21400000278,2021,"South",4000002021,400027821,"Maryland","1",26,7.02,7.024494648,"1","1","7.5","10","0","7.5","7.5","1","0","5","7","1","5","7","4","1","4","4","No me considero americano","High school graduate"
"279",21400000279,2021,"West",4000002021,400027921,"Oregon","1",43,0.61,0.609907448,"0","0","10","3","1","10","10","0","0","2.5","7","7","7","7","6","7","7","7","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"280",21400000280,2021,"Northeast",4000002021,400028021,"New Hampshire","0",59,0.75,0.749442816,"0","0","10","10","0","10","10","0","0","2.5","7","7","7","7","6","1","6","6","7","High school graduate"
"281",21400000281,2021,"South",4000002021,400028121,"Texas","0",31,0.86,0.861504674,"0","0","2.5","1","0","7.5","7.5","1","1","5","3","3","4","4","3","1","4","7","1","Some college, but no degree (yet)"
"282",21400000282,2021,"Northeast",4000002021,400028221,"New Hampshire","1",58,0.91,0.907832623,"0","0","2.5","4","0","5","5","0","0","5","3","3","3","3","1","2","2","3","3","Some college, but no degree (yet)"
"283",21400000283,2021,"West",4000002021,400028321,"California","1",39,0.68,0.677133381,"0","0","7.5","8","0","7.5","7.5","1","1","5","1","3","5","5","1","1","1","1","7","Some college, but no degree (yet)"
"284",21400000284,2021,"Midwest",4000002021,400028421,"Ohio","0",27,0.58,0.575824738,"1","0","7.5","3","1","7.5","7.5","0","0","5","6","5","5","4","2","4","6","7","6","4-year college degree"
"285",21400000285,2021,"Midwest",4000002021,400028521,"Illinois","1",65,0.79,0.789194405,"1","0","7.5","3","0","7.5","7.5","1","0","0","3","1","1","1","2","5","4","6","2","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"286",21400000286,2021,"Northeast",4000002021,400028621,"Pennsylvania","1",66,0.87,0.866527081,"0","0","5","3","0","7.5","7.5","0","1","5","1","1","2","4","2","1","7","6","7","Some college, but no degree (yet)"
"287",21400000287,2021,"Northeast",4000002021,400028721,"Massachusetts","0",30,4.18,4.183593273,"0","0","7.5","5","0","7.5","7.5","0","0","2.5","5","5","5","5","4","3","5","5","6","High school graduate"
"288",21400000288,2021,"South",4000002021,400028821,"Alabama","0",50,1.39,1.388335228,"1","0","7.5","7","0","10","10","0","0","5","5","7","2","1","7","2","3","1","6","Some college, but no degree (yet)"
"289",21400000289,2021,"Midwest",4000002021,400028921,"Ohio","0",56,0.8,0.80151403,"0","0","10","1","0","5","10","0","0","2.5","4","2","5","5","5","7","7","5","5","4-year college degree"
"290",21400000290,2021,"West",4000002021,400029021,"California","0",36,2.51,2.507999897,"0","0","5","8","0","7.5","7.5","1","1","5","5","4","6","6","4","2","4","4","6","2-year college degree"
"291",21400000291,2021,"West",4000002021,400029121,"California","1",47,1.16,1.164433122,"0","0","5","7","0","5","5","1","0","7.5","3","2","2","3","2","1","2","1","2","2-year college degree"
"292",21400000292,2021,"South",4000002021,400029221,"Texas","0",60,1.01,1.009684801,"0","0","7.5","5","0","10","10","1","1","5","1","3","3","7","4","1","1","1","3","2-year college degree"
"293",21400000293,2021,"West",4000002021,400029321,"Arizona","1",45,0.57,0.567480147,"0","0","7.5","3","0","5","10","1","0","2.5","1","3","1","2","2","4","6","5","3","High school graduate"
"294",21400000294,2021,"Midwest",4000002021,400029421,"Minnesota","0",62,0.89,0.88991344,"0","0","10","10","0","10","10","0","0","5","6","4","7","7","7","1","3","2","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"295",21400000295,2021,"West",4000002021,400029521,"Colorado","0",37,0.41,0.411579281,"0","0","5","1","0","7.5","10","1","1","5","3","4","4","3","2","3","6","6","2","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"296",21400000296,2021,"West",4000002021,400029621,"Washington","1",44,1.54,1.54166925,"0","1","7.5","5","0","5","7.5","1","0","2.5","3","2","4","4","3","1","4","4","4","Some college, but no degree (yet)"
"297",21400000297,2021,"South",4000002021,400029721,"Texas","0",60,0.51,0.513273239,"0","0","10","1","0","7.5","7.5","0","0","0","6","4","5","6","5","5","6","7","5","High school graduate"
"298",21400000298,2021,"West",4000002021,400029821,"California","1",41,0.6,0.60072118,"0","0","5","10","0","7.5","5","1","0","5","4","3","4","4","4","4","3","3","6","Some college, but no degree (yet)"
"299",21400000299,2021,"Midwest",4000002021,400029921,"Illinois","0",57,0.8,0.80151403,"1","0","7.5","1","1","5","7.5","1","0","2.5","5","2","4","5","4","4","5","6","4","4-year college degree"
"300",21400000300,2021,"West",4000002021,400030021,"Nevada","1",35,0.55,0.547469318,"1","0","2.5","3","0","7.5","7.5","1","1","5","4","2","3","4","4","2","2","4","4","Did not graduate from high school"
"301",21400000301,2021,"South",4000002021,400030121,"Florida","0",45,0.73,0.73192656,"1","0","10","5","1","10","10","0","1","7.5","6","6","6","6","6","6","6","6","6","Some college, but no degree (yet)"
"302",21400000302,2021,"South",4000002021,400030221,"Texas","0",57,1.14,1.13707006,"0","0","10","10","0","10","10","1","0","5","7","6","7","7","6","1","1","1","7","4-year college degree"
"303",21400000303,2021,"West",4000002021,400030321,"California","0",29,0.51,0.510904372,"1","0","7.5","3","0","7.5","7.5","0","0","2.5","4","4","3","5","5","6","7","5","4","4-year college degree"
"304",21400000304,2021,"South",4000002021,400030421,"North Carolina","1",50,0.96,0.961230755,"0","1","7.5","4","0","7.5","10","0","0","0","7","5","7","7","6","6","7","7","3","4-year college degree"
"305",21400000305,2021,"Midwest",4000002021,400030521,"Michigan","0",48,0.7,0.699136794,"0","0","7.5","1","0","7.5","7.5","1","1","0","2","2","1","2","3","2","3","2","1","High school graduate"
"306",21400000306,2021,"South",4000002021,400030621,"Florida","0",43,3.29,3.287801743,"1","0","10","10","0","10","10","1","0","10","7","7","7","7","7","7","7","7","7","2-year college degree"
"307",21400000307,2021,"West",4000002021,400030721,"Oregon","1",45,0.96,0.961230755,"0","0","7.5","1","0","5","10","0","0","2.5","3","5","2","4","5","5","6","7","2","4-year college degree"
"308",21400000308,2021,"South",4000002021,400030821,"West Virginia","0",43,0.54,0.538291454,"0","0","7.5","8","0","7.5","10","0","0","2.5","4","2","6","6","5","1","5","2","6","4-year college degree"
"309",21400000309,2021,"Midwest",4000002021,400030921,"Ohio","0",23,1.09,1.092803717,"1","0","7.5","7","0","7.5","10","1","0","2.5","5","4","4","4","2","1","4","2","6","4-year college degree"
"310",21400000310,2021,"South",4000002021,400031021,"Texas","1",52,1.36,1.363652706,"1","0","7.5","10","0","10","10","0","0","2.5","5","5","7","7","6","1","4","1","7","4-year college degree"
"311",21400000311,2021,"South",4000002021,400031121,"Tennessee","0",58,0.39,0.386339515,"0","0","7.5","5","0","5","7.5","1","0","5","2","2","3","5","2","1","6","6","4","Some college, but no degree (yet)"
"312",21400000312,2021,"South",4000002021,400031221,"Georgia","1",35,0.85,0.848844588,"0","0","7.5","1","0","7.5","7.5","1","0","5","4","5",NA,"6","4","2","5","6","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"313",21400000313,2021,"Midwest",4000002021,400031321,"Iowa","0",75,1.2,1.196435332,"0","0","7.5","9","0","7.5","10","1","0","5","2","1","4","4","6","1","4","1","7","Some college, but no degree (yet)"
"314",21400000314,2021,"Midwest",4000002021,400031421,"Michigan","0",71,0.85,0.845028043,"1","0","10","5","0","10","10","0","0","0","6","6","7","7","6","7","7","7","7","4-year college degree"
"315",21400000315,2021,"South",4000002021,400031521,"Florida","1",62,1.36,1.363652706,"0","0","7.5","7","0","10","10","0","0","2.5","1","1","1","1","3","1","1","1","7","4-year college degree"
"316",21400000316,2021,"West",4000002021,400031621,"California","0",75,1.07,1.066333413,"0","0","10","7","0","7.5","10","0","0","2.5","3","6","7","6","6","2","5","2","6","2-year college degree"
"317",21400000317,2021,"South",4000002021,400031721,"Oklahoma","0",78,0.8,0.796946704,"0","0","10","10","0","7.5","10","1","1","2.5","4","5","5","3","3","2","2","1","7","High school graduate"
"318",21400000318,2021,"South",4000002021,400031821,"Florida","1",35,0.72,0.72359997,"0","0","7.5","7","1","7.5","5","1","1","5","5","5","4","4","4","5","4","3","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"319",21400000319,2021,"West",4000002021,400031921,"Colorado","0",62,1.14,1.13707006,"0","0","7.5","8","1","5","10","0","0","5","1","1","3","3","4","1","2","1","7","4-year college degree"
"320",21400000320,2021,"South",4000002021,400032021,"District of Columbia","0",62,0.73,0.725690842,"1","0","7.5","8","0","7.5","7.5","0","0","7.5","5","6","7","7","1","3","6","2","7","4-year college degree"
"321",21400000321,2021,"South",4000002021,400032121,"Florida","0",57,1.14,1.13707006,"0","0","10","7","0","7.5","7.5","1","1","7.5","6","5","6","7","6","1","6","3","7","4-year college degree"
"322",21400000322,2021,"South",4000002021,400032221,"Georgia","1",41,0.61,0.61101228,"0","0","7.5","4","0","5","7.5","0","0","0","4","5","3","3","3","5","7","5","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"323",21400000323,2021,"Northeast",4000002021,400032321,"Pennsylvania","1",62,1.3,1.300375581,"0","0","2.5","5","1","2.5","5","0","0","10","1","5","1","4","1","1","3","1","5","2-year college degree"
"324",21400000324,2021,"South",4000002021,400032421,"Texas","0",51,1.18,1.177038789,"0","0","7.5","10","0","7.5","7.5","0","0","0","2","3","6","4","4","1","3","1","6","Some college, but no degree (yet)"
"325",21400000325,2021,"South",4000002021,400032521,"North Carolina","1",50,0.76,0.761604309,"0","0","7.5","3","1","7.5","7.5","0","0","5","4","4","4","4","4","4","5","6","6","High school graduate"
"326",21400000326,2021,"South",4000002021,400032621,"Maryland","0",67,0.47,0.466757208,"0","0","7.5","5","0","7.5","10","1","0","2.5","5","3","4","4","5","4","7","5","5","Some college, but no degree (yet)"
"327",21400000327,2021,"Northeast",4000002021,400032721,"Massachusetts","0",31,6.33,6.329389572,"0","0","5","6","0","7.5","7.5","0","0","2.5","1","1","1","1","1","1","2","1","7","Did not graduate from high school"
"328",21400000328,2021,"South",4000002021,400032821,"North Carolina","1",65,1.1,1.096477151,"0","0","7.5","7","0","5","7.5","1","0","2.5","2","2","3","3","2","1","2","1","3","4-year college degree"
"329",21400000329,2021,"Midwest",4000002021,400032921,"Michigan","1",51,0.91,0.907832623,"0","0","7.5","1","0","2.5","7.5","1","0","2.5","4","3","4","5","2","4","4","5","6","Some college, but no degree (yet)"
"330",21400000330,2021,"Midwest",4000002021,400033021,"North Dakota","0",58,0.78,0.77752316,"0","0","7.5","5","0","7.5","2.5","1","0","5","3","6","6","6","3","6","7","5","7","Some college, but no degree (yet)"
"331",21400000331,2021,"South",4000002021,400033121,"South Carolina","1",52,1.09,1.091222286,"0","0","2.5","10","0","7.5","10","1","1","0","1","1","1","4","1","1","1","1","7","Some college, but no degree (yet)"
"332",21400000332,2021,"Northeast",4000002021,400033221,"Pennsylvania","1",58,1.27,1.274409771,"0","0","10","8","0","10","7.5","0","1","2.5","3","5","7","7","7","1","5","1","7","High school graduate"
"333",21400000333,2021,"Northeast",4000002021,400033321,"New York","0",66,1.51,1.508871078,"0","0","7.5","10","0","7.5","7.5","0","0","0","5","7","7","7","5","1","3","1","7","4-year college degree"
"334",21400000334,2021,"South",4000002021,400033421,"Texas","1",45,2.02,2.022979021,"1","0","7.5","5","0","7.5","10","1","1","5","3","3","4","3","4","2","2","3","7","Did not graduate from high school"
"335",21400000335,2021,"West",4000002021,400033521,"Oregon","0",61,0.81,0.806122184,"1","0","7.5","5","0","7.5","7.5","0","0","5","5","5","6","6","6","3","4","6","6","Some college, but no degree (yet)"
"336",21400000336,2021,"Midwest",4000002021,400033621,"Indiana","0",60,0.46,0.464221001,"0","0","7.5","5","0","7.5","7.5","0","0","2.5","3","5","3","5","5","6","6","5","3","High school graduate"
"337",21400000337,2021,"West",4000002021,400033721,"Utah","1",42,0.5,0.504135728,"0","0","7.5","1","0","10","10","0","1","5","1","1","1","3","2","3","2","2","4","Some college, but no degree (yet)"
"338",21400000338,2021,"South",4000002021,400033821,"Virginia","0",65,1.24,1.242865801,"0","0","7.5","9","0","7.5","10","0","0","2.5","3","2","6","7","4","2","5","2","7","2-year college degree"
"339",21400000339,2021,"Midwest",4000002021,400033921,"Indiana","0",74,1.24,1.242865801,"1","0","10","9","0","10","10","0","0","0","1","1","4","7","7","1","1","1","7","2-year college degree"
"340",21400000340,2021,"Northeast",4000002021,400034021,"New Jersey","0",69,1.04,1.039400101,"0","0","7.5","5","0","7.5","7.5","0","0","2.5","5","5","5","6","6","6","6","6","7","Some college, but no degree (yet)"
"341",21400000341,2021,"South",4000002021,400034121,"Arkansas","0",83,0.85,0.847204208,"0","0","10","10","0","10","10","1","0","5","2","2","6","6","4","1","2","1","6","Some college, but no degree (yet)"
"342",21400000342,2021,"Midwest",4000002021,400034221,"Illinois","0",57,0.8,0.80151403,"1","0","10","2","0","7.5","7.5","1","0","2.5","5","5","6","7","6","4","7","7","7","4-year college degree"
"343",21400000343,2021,"South",4000002021,400034321,"Florida","1",61,0.9,0.901083529,"0","0","5","1","0","5","2.5","1","1","2.5","3","2","2","5","2","4","6","6","1","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"344",21400000344,2021,"South",4000002021,400034421,"Florida","0",63,0.63,0.627294779,"0","0","7.5","2","0","7.5","7.5","1","0","2.5","3","4","3","4","2","6","6","3","3","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"345",21400000345,2021,"West",4000002021,400034521,"Utah","1",57,1.36,1.363652706,"0","0","10","10","0","10","10","1","0","2.5","6","5","6","6","6","1","4","1","6","4-year college degree"
"346",21400000346,2021,"West",4000002021,400034621,"Oregon","0",49,0.8,0.80151403,"1","0","7.5","3","0","5","7.5","0","1","0","5","5","2","4","5","6","7","5","2","4-year college degree"
"347",21400000347,2021,"Northeast",4000002021,400034721,"Connecticut","1",58,1.63,1.633523107,"0","0","10","8","0","10","10","0","0","2.5","2","3","7","7","7","1","2","2","7","4-year college degree"
"348",21400000348,2021,"West",4000002021,400034821,"California","0",64,1.14,1.143607378,"0","0","5","10","0","5","5","0","0","0","3","2","7","7","3","1","3","1","7","Some college, but no degree (yet)"
"349",21400000349,2021,"South",4000002021,400034921,"South Carolina","1",52,0.61,0.607947767,"0","1","7.5","1","0","7.5","7.5","0","1","2.5","3","2","2","2","2","4","6","6","2","Some college, but no degree (yet)"
"350",21400000350,2021,"West",4000002021,400035021,"California","0",60,0.33,0.327858567,"1","0","10","3","0","10","7.5","0","1","5","5","4","3","4","6","6","6","6","4","Some college, but no degree (yet)"
"351",21400000351,2021,"West",4000002021,400035121,"Washington","0",64,0.81,0.806122184,"0","1","7.5","1","1","5","5","1","1","0","4","1","3","4","1","1","5","7","3","2-year college degree"
"352",21400000352,2021,"South",4000002021,400035221,"Louisiana","1",52,0.83,0.83233732,"1","0","7.5","10","0","10","10","1","0","5","4","6","5","7","6","2","2","2","7","Some college, but no degree (yet)"
"353",21400000353,2021,"South",4000002021,400035321,"North Carolina","1",59,0.61,0.607947767,"0","0","10","5","1","7.5","10","1","0","0","3","3","7","5","2","3","7","7","2","Some college, but no degree (yet)"
"354",21400000354,2021,"South",4000002021,400035421,"District of Columbia","0",52,0.54,0.541625857,"0","0","10","2","0","10","7.5","0","0","0","5","6","7","7","6","7","7","7","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"355",21400000355,2021,"South",4000002021,400035521,"Texas","1",63,0.9,0.901083529,"0","0","7.5","3","1","10","7.5","0","0","2.5","5","4","5","7","6","6","7","6","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"356",21400000356,2021,"South",4000002021,400035621,"West Virginia","1",59,1.53,1.531308413,"0","0","7.5","5","0","7.5","10","0","0","2.5","2","5","3","7","3","1","6","6","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"357",21400000357,2021,"South",4000002021,400035721,"Virginia","0",48,0.69,0.685283482,"0","0","10","5","0","10","10","1","0","2.5","7","5","7","7","7","5","6","5","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"358",21400000358,2021,"West",4000002021,400035821,"Idaho","1",25,0.62,0.617490411,"1","0","10","1","1","7.5","10","1","0","0","5","5","2","2","6","3","6","6","3","4-year college degree"
"359",21400000359,2021,"South",4000002021,400035921,"Tennessee","1",62,1.01,1.012521267,"0","0","7.5","8","0","10","10","1","0","5","6","7","6","6","7","2","5","5","6","High school graduate"
"360",21400000360,2021,"South",4000002021,400036021,"Florida","1",60,0.9,0.90134573,"0","0","10","10","0","7.5","7.5","0","0","2.5","5","5","3","6","6","2","5","2","No me considero americano","4-year college degree"
"361",21400000361,2021,"West",4000002021,400036121,"Colorado","1",61,0.48,0.48007375,"0","0","7.5","1","0","2.5","10","1","0","0","1","1","1","1","4","1","2","1","1","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"362",21400000362,2021,"West",4000002021,400036221,"California","1",46,0.76,0.75972563,"0","0","7.5","4","0","7.5","7.5","0","0","5","4","5","4","5","5","5","6","5","4","4-year college degree"
"363",21400000363,2021,"Midwest",4000002021,400036321,"Minnesota","0",60,1.1,1.103035331,"0","0","10","9","0","10","10","1","1","7.5","2","1","1","3","5","1","1","1","7","Some college, but no degree (yet)"
"364",21400000364,2021,"West",4000002021,400036421,"Arizona","1",65,1.23,1.229300976,"0","0","7.5","10","0","10","7.5","0","0","5","3","3","6","6","5","1","2","2","7","2-year college degree"
"365",21400000365,2021,"South",4000002021,400036521,"South Carolina","0",56,0.75,0.751579404,"0","0","7.5","9","0","7.5","7.5","0","0","7.5","2","2","4","5","4","1","3","1","5","4-year college degree"
"366",21400000366,2021,"West",4000002021,400036621,"California","0",57,0.61,0.611397028,"1","0","10","3","1","7.5","7.5","0","0","2.5","5","5","6","6","5","5","5","6","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"367",21400000367,2021,"Midwest",4000002021,400036721,"Minnesota","1",65,0.66,0.658813477,"0","0","10","4","0","10","10","0","0","2.5","7","5","6","6","7","6","7","7","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"368",21400000368,2021,"Midwest",4000002021,400036821,"Ohio","0",58,1.1,1.103035331,"0","0","5","8","0","7.5","7.5","0","0","5","1","5","4","5","4","1","3","1","6","2-year college degree"
"369",21400000369,2021,"Northeast",4000002021,400036921,"New Jersey","0",54,0.58,0.584291697,"1","0","5","1","0","7.5","10","1","1","5","1","1","1","1","3","1","1","1","3","High school graduate"
"370",21400000370,2021,"West",4000002021,400037021,"California","0",25,1.34,1.342870593,"0","0","7.5","5","0","7.5","7.5","0","1","2.5","5","5","5","5","5","3","7","4","1","4-year college degree"
"371",21400000371,2021,"South",4000002021,400037121,"Texas","0",66,0.88,0.876088798,"0","0","5","2","1","5","7.5","0","0","0","5","3","6","5","6","5","7","7","6","Some college, but no degree (yet)"
"372",21400000372,2021,"South",4000002021,400037221,"Virginia","0",63,0.9,0.899263501,"0","0","10","10","1","10","10","0","0","0","3","4","7","7","6","1","5","1","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"373",21400000373,2021,"West",4000002021,400037321,"California","0",63,0.63,0.627294779,"0","0","10","4","0","10","10","0","0","2.5","4","4","2","4","5","6","7","7","4","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"374",21400000374,2021,"West",4000002021,400037421,"California","0",63,0.9,0.899263501,"0","0","7.5","6","0","2.5","5","0","0","10","1","4","2","4","3","1","2","1","2","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"375",21400000375,2021,"Northeast",4000002021,400037521,"Massachusetts","0",54,1.18,1.176838875,"0","0","5","10","1","10","7.5","1","0","0","1","1","1","1","1","1","1","1","1","Some college, but no degree (yet)"
"376",21400000376,2021,"South",4000002021,400037621,"North Carolina","1",51,0.6,0.601947367,"0","0","7.5","5","0","10","10","1","1","0","4","4","5","6","7","6","7","5","7","High school graduate"
"377",21400000377,2021,"Northeast",4000002021,400037721,"Pennsylvania","0",38,0.87,0.866775751,"0","0","10","1","0","5","10","0","0","0","4","4","2","4","4","2","5","4","2","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"378",21400000378,2021,"Northeast",4000002021,400037821,"Maine","1",61,0.69,0.692033052,"0","0","7.5","4","0","7.5","10","0","0","2.5","5","3","6","5","6","5","5","6","6","Some college, but no degree (yet)"
"379",21400000379,2021,"Northeast",4000002021,400037921,"Pennsylvania","1",61,0.77,0.765193343,"0","0","7.5","4","0","5","10","1","1","0","1","2","2","2","4","4","4","6","2","Some college, but no degree (yet)"
"380",21400000380,2021,"Midwest",4000002021,400038021,"Michigan","1",67,1.01,1.013130188,"0","0","7.5","9","0","7.5","7.5","1","0","5","4","3","4","3","6","1","6","7","7","High school graduate"
"381",21400000381,2021,"Northeast",4000002021,400038121,"New York","1",67,1.63,1.625668764,"0","0","10","1","0","7.5","7.5","1","0","5","6","6","7","7","6","6","7","7","7","4-year college degree"
"382",21400000382,2021,"South",4000002021,400038221,"Texas","0",68,1.2,1.198801279,"0","0","7.5","9","0","10","10","0","0","5","2","5","6","4","4","1","3","2","6","4-year college degree"
"383",21400000383,2021,"West",4000002021,400038321,"California","1",60,0.96,0.961230755,"1","0","5","3","0","7.5","7.5","1","0","0","5","5","7","5","7","2","6","7","7","4-year college degree"
"384",21400000384,2021,"West",4000002021,400038421,"Utah","0",35,0.61,0.606043577,"0","0","2.5","6","0","10","10","1","0","5","4","4","4","4","4","1","1","1","7","4-year college degree"
"385",21400000385,2021,"West",4000002021,400038521,"California","1",56,0.76,0.761604309,"0","0","7.5","2","0","7.5","7.5","0","0","0","5","5","6","6","5","5","6","7","6","High school graduate"
"386",21400000386,2021,"Northeast",4000002021,400038621,"New York","0",63,1.14,1.13707006,"1","1","7.5","8","0","7.5","7.5","0","1","2.5","4","3","4","3","5","2","4","5","7","4-year college degree"
"387",21400000387,2021,"West",4000002021,400038721,"New Mexico","1",54,0.44,0.444567353,"0","1","10","5","0","7.5","10","1","1","0","5","4","5","6","3","3","7","5","4","4-year college degree"
